RANK,Company,Location,Turnover £m,Pre-tax Profit £m,EBITDA £m,Employees,Year End
1,INSPIRE CATERING SCOTLAND LLP,Westhill,"  8,696.0",  232.9,  246.7,188,Dec 23
2,DIAGEO SCOTLAND ,Edinburgh,"  2,229.0",  689.0,  931.0,"238,595",Jun 25
3,WESTON IMPORTERS .,Edinburgh,"  1,724.6",  83.9,  160.1,11,Dec 24
4,HEINEKEN UK ,Edinburgh,"  1,497.0",  48.0,  236.0,"2,239",Dec 24
5,CHIVAS BROTHERS INTERNATIONAL ,Dumbarton,"  1,205.0",  259.4,  248.0,283,Jun 24
6,THE EDRINGTON GROUP ,Glasgow,"  1,068.7",  257.7,  335.2,506,Mar 25
7,FARMFOODS ,Glasgow,"  1,044.4",  30.5,  45.5,"5,209",Dec 24
8,MOWI SCOTLAND ,Dunfermline,  658.3,  48.2,  86.1,773,Dec 24
9,WILLIAM GRANT & SONS DISTILLERS ,Keith,  522.1,  34.2,  26.4,"1,087",Dec 24
10,2 AGRICULTURE ,Newbridge,  450.0,  9.7,  12.1,346,Dec 24
11,J.W. GALLOWAY ,Stirling,  449.5,  4.8,  8.3,"1,233",Feb 23
12,A.G. BARR,Glasgow,  420.4,  53.2,  54.0,964,Jan 25
13,ALBERT BARTLETT  ,Airdrie,  400.9,  17.6,  30.2,"1,588",May 25
14,THE ALBEX GROUP ,Paisley,  397.3,  12.6,  15.8,385,Dec 24
15,WA BAXTER & SONS  ,Edinburgh,  387.7, (7.2),  42.7,"1,413",Mar 25
16,KENT FOODS ,Paisley,  336.3,  10.7,  12.9,266,Dec 24
17,WHYTE AND MACKAY ,Glasgow,  295.0,  88.3,  91.6,626,Dec 24
18,BROWNS FOOD GROUP ,Sanquhar,  251.7,  17.6,  23.0,"1,305",Dec 24
19,COOKE AQUACULTURE UK  ,Glasgow,  233.1,  15.4,  36.5,400,Dec 24
20,WALKER'S SHORTBREAD ,Aberlour,  201.0,  18.1,  18.8,"1,255",Dec 24
21,KETTLE PRODUCE ,Cupar,  196.2,  2.7,  5.8,"1,200",May 25
22,BIOMAR ,Grangemouth,  183.9,  10.6,  16.3,87,Dec 24
23,ANGUS SOFT FRUITS ,Arbroath,  166.3,  2.5,  3.8,214,Apr 25
24,THISTLE SEAFOODS ,Peterhead,  161.4,  3.7,  6.3,588,Dec 24
25,GLEN GRANT ,Aberlour,  159.3, (40.9), (34.9),153,Dec 25
26,GRAHAMS THE FAMILY DAIRY GROUP ,Stirling,  154.9,  0.7,  5.6,663,Mar 25
27,HIGHLAND SPRING ,Auchterarder,  148.2,  7.6,  17.9,423,Dec 24
28,BROWNS MANUFACTURING ,Sanquhar,  135.6,  6.9,  11.2,780,Dec 24
29,AG RESTAURANTS ,Glasgow,  130.7,  2.5,  6.7,"2,896",Dec 24
30,MCQUEENS DAIRIES  ,Glasgow,  130.0,  12.7,  15.5,"1,370",Jul 25
31,IAN MACLEOD DISTILLERS ,Broxburn,  128.3,  15.6,  20.0,320,Sep 24
32,GOLDEN ACRE FOODS ,Glasgow,  127.7,  4.8,  4.6,67,Dec 24
33,FARNE SALMON & TROUT ,Duns,  119.0,  10.0,  11.4,515,Jun 24
34,LUNAR FISHING COMPANY ,Peterhead,  116.0,  36.9,  39.8,264,Dec 24
35,HIGHLAND DISTILLERS ,Glasgow,  115.9, (30.1), (8.0),308,Mar 25
36,LIGHTBODY OF HAMILTON ,Hamilton,  104.2,  5.4,  7.8,910,Jun 24
37,GLENRATH FARMS .,West Linton,  92.3,  23.9,  27.5,194,May 25
38,INVER HOUSE DISTILLERS ,Airdrie,  88.4,  2.8,  9.6,287,Sep 24
39,THOMAS TUNNOCK ,Glasgow,  87.7,  0.8,  4.5,653,Feb 25
40,ENTIER ,Westhill,  82.6,  2.8,  3.8,689,Sep 24
41,CVH SPIRITS ,Glasgow,  81.9, (0.7),  6.8,300,Jun 25
42,EAST COAST VINERS  ,Stonehaven,  71.2,  4.4,  6.6,81,Jun 24
43,WHITELINK SEAFOODS ,Fraserburgh,  70.6,  1.5,  3.2,190,Dec 24
44,CAMPBELL'S PRIME MEAT HOLDING COMPANY ,Edinburgh,  69.3,  4.3,  5.3,319,Dec 23
45,D MCGHEE & SONS ,Glasgow,  53.7,  5.0,  7.3,439,Aug 24
46,THE CRESS COMPANY (SCOTLAND) ,Dunfermline,  53.6,  2.6,  3.3,208,Dec 24
47,SM BAYNE & COMPANY  (T/A BAYNE'S FAMILY BAKERS),Lochgelly,  51.3,  3.4,  5.2,963,Mar 25
48,NAIRN'S OATCAKES ,Edinburgh,  50.6,  5.2,  6.1,238,May 25
49,VEGWARE ,Edinburgh,  48.5,  4.7,  4.7,77,Dec 24
50,SEAFOOD ECOSSE ,Aberdeen,  48.2,  3.2,  3.5,95,Dec 24
51,DEVRO (SCOTLAND) ,Glasgow,  47.3,  6.5,  5.8,316,Dec 24
52,FIFE CREAMERY ,Kirkcaldy,  46.5,  2.0,  2.7,168,Sep 25
53,SPEYSIDE COOPERAGE ,Aberlour,  45.2,  2.1,  2.4,142,Apr 25
54,ABERDEEN & NORTHERN EGGS ,Fraserburgh,  44.7,  5.0,  8.0,69,May 24
55,LOMOND FINE FOODS ,Glasgow,  41.7,  1.7,  2.7,164,Dec 24
56,ALLIANCE WINE GROUP ,Beith,  41.5,  1.1,  1.2,90,May 25
57,SIX BY NICO  ,Glasgow,  40.4,  4.2,  5.4,672,Jun 25
58,DUNCAN FARMS ,Turriff,  39.7,  29.1,  29.7,84,Mar 25
59,TULLIBARDINE ,Edinburgh,  38.0,  8.0,  9.6,39,Dec 24
60,SIMON HOWIE BUTCHERS ,Perth,  37.4,  6.9,  8.3,134,Jan 25
61,BUZZWORKS  GROUP ,Kilmarnock,  37.3, (2.8),  0.9,760,May 25
62,THE BENRIACH DISTILLERY COMPANY ,Edinburgh,  35.5,  9.8,  16.4,130,Apr 25
63,D. GEDDES (FARMS) ,Arbroath,  34.7,  6.8,  9.0,230,Dec 24
64,GLASGOW WHISKY ,Glasgow,  34.7,  8.4,  10.1,8,Dec 24
65,QUALITY FOOD PRODUCTS (ABERDEEN) ,Aberdeen,  34.6,  1.6,  1.6,62,Aug 24
66,BEER52 ,Edinburgh,  33.8,  3.0,  3.1,80,Jun 24
67,BELLS FOOD GROUP ,Shotts,  28.9,  1.6,  2.8,195,Mar 25
68,SPEYMALT WHISKY DISTRIBUTORS ,Elgin,  28.2,  6.8,  10.2,147,Feb 25
69,HAMLYNS OF SCOTLAND ,Edinburgh,  27.8,  0.0,  0.7,45,Jul 24
70,GLEN MORAY DISTILLERY ,Bathgate,  26.3,  4.4,  7.2,29,Dec 24
71,BORDER BISCUITS ,Lanark,  25.9,  2.1,  2.7,192,Dec 24
72,"TOMATIN DISTILLERY COMPANY ,(THE)",Inverness,  23.7,  5.7,  7.1,75,Dec 24
73,THE ARTISANAL SPIRITS COMPANY ,Edinburgh,  23.6, (3.1),  1.2,128,Dec 24
74,INVERLUSSA SHELLFISH COMPANY ,Isle Of Mull,  22.7,  5.0,  11.3,125,Mar 25
75,CAKE DECOR ,Glasgow,  20.5,  2.4,  3.0,112,Dec 24
76,THE GLENALLACHIE DISTILLERS CO ,Aberlour,  20.0,  6.9,  11.7,36,Dec 24
77,DUNCAN TAYLOR SCOTCH WHISKY ,Aberdeen,  18.9,  2.3,  4.8,36,Dec 24
78,AULDS  ,Greenock,  18.7,  0.5,  0.9,282,Mar 25
79,JG ROSS (BAKERS) ,Inverurie,  17.2,  1.0,  1.5,309,Mar 25
80,CAFE ANDALUZ RESTAURANTS ,Glasgow,  17.2,  2.9,  3.3,298,Apr 25
81,TAYLORS SNACKS ,Perth,  16.9, (0.3),  0.2,98,Jun 24
82,ISLE OF ARRAN DISTILLERS ,Isle Of Arran,  16.9,  2.6,  5.5,93,Dec 24
83,SIGNATORY VINTAGE SCOTCH WHISKY COMPANY ,Pitlochry,  16.5,  11.6,  11.3,13,Mar 25
84,ST JAMES SMOKEHOUSE (SCOTLAND) ,Annan,  16.0,  0.4,  0.3,89,Dec 24
85,DEAN'S OF HUNTLY ,Huntly,  15.0,  1.0,  1.6,205,Jun 25
86,BROWNINGS THE BAKERS  ,Kilmarnock,  14.5,  0.8,  1.3,201,Mar 25
87,JOHN HOGARTH ,Kelso,  14.0,  0.8,  1.0,33,Jun 24
88,MONTPELIERS (EDINBURGH)  ,Edinburgh,  13.9,  0.6,  1.1,245,Apr 25
89,HUNTER LAING  ,Glasgow,  13.8,  1.6,  4.0,46,Apr 25
90,THE FRESH FOOD COMPANY (2007) ,Glasgow,  12.5,  0.6,  0.8,83,Aug 24
91,DOUGLAS LAING & COMPANY ,Glasgow,  11.7,  0.6,  2.2,57,Dec 24
92,HARRY GOW ,Inverness,  11.3,  0.4,  1.0,215,May 25
93,THE SCOTCH WHISKY HERITAGE CENTRE ,Edinburgh,  10.4,  1.0,  1.9,89,Nov 24
94,KILCHOMAN DISTILLERY COMPANY ,Isle Of Islay,  9.9,  1.3,  3.1,48,Dec 24
95,SHORTBREAD HOUSE OF EDINBURGH ,Edinburgh,  7.0,  1.5,  1.5,70,Feb 25
96,ISLAND BAKERY ORGANICS ,Isle Of Mull,  4.8,  0.4,  0.6,37,Mar 25
97,ARK GLASGOW ,Glasgow,  4.5,  0.0,  0.1,7,Sep 25
98,ANNANDALE DISTILLERY COMPANY ,Annan,  3.7, (0.1),  0.3,69,Mar 25
99,RESTORATION YARD ,Selkirk,  2.6, (0.4), (0.3),-,Oct 24
100,BEN NEVIS BAR TRADING COMPANY ,Oban,  2.2,  0.4,  0.4,15,Oct 24
101,THE FISHOUSE (OBAN) ,Oban,  1.4,  0.2,  0.2,10,Mar 25
102,MACMILLAN SPIRITS CO ,Isle Of South Uist,  1.2,  0.7,  0.9,7,Mar 25
103,NUMBER SIXTEEN WEST END ,Glasgow,  0.8,  0.0,  0.0,-,May 24
104,WILLIAMS & JOHNSON COFFEE CO ,Edinburgh,  0.6,  0.1,  0.1,13,Mar 25
105,TAY BRIDGE TAVERNS ,Newport-On-Tay,  0.3,  0.0,  0.0,-,May 25
106,MADAMEMEWS ,Aberdeen,  0.3, (0.0), (0.0),7,Apr 24
107,FOOD FORTY SIX ,Paisley,  0.2, (0.0), (0.0),10,Oct 24
108,VANDYKE BROTHERS COFFEE ,Cromarty,  0.2,  0.0,  0.0,2,Dec 25
109,THE WATERFRONT COMPANY (OBAN) ,Oban,  0.1,  0.1,  0.1,1,Mar 25